location,year,male,female
AUS,1960,67.9,73.9
AUS,1961,68.0,74.4
AUS,1962,67.8,74.2
AUS,1963,67.9,74.2
AUS,1964,67.5,73.9
AUS,1965,67.7,74.2
AUS,1966,67.6,74.0
AUS,1967,67.8,74.5
AUS,1968,67.5,74.2
AUS,1969,67.5,74.6
AUS,1970,67.4,74.2
AUS,1971,68.3,74.9
AUS,1972,68.6,75.4
AUS,1973,68.6,75.5
AUS,1974,68.4,75.4
AUS,1975,69.2,76.2
AUS,1976,69.3,76.3
AUS,1977,69.9,76.8
AUS,1978,70.2,77.2
AUS,1979,70.8,77.8
AUS,1980,71.0,78.1
AUS,1981,71.4,78.4
AUS,1982,71.2,78.2
AUS,1983,72.1,78.8
AUS,1984,72.5,79.0
AUS,1985,72.4,78.8
AUS,1986,72.9,79.2
AUS,1987,73.1,79.5
AUS,1988,73.1,79.5
AUS,1989,73.3,79.6
AUS,1990,73.9,80.1
AUS,1991,74.4,80.4
AUS,1992,74.5,80.4
AUS,1993,75.0,80.9
AUS,1994,75.0,80.9
AUS,1995,75.0,80.8
AUS,1996,75.2,81.1
AUS,1997,75.6,81.3
AUS,1998,75.9,81.5
AUS,1999,76.2,81.8
AUS,2000,76.6,82.0
AUS,2001,77.0,82.4
AUS,2002,77.4,82.6
AUS,2003,77.8,82.8
AUS,2004,78.1,83.0
AUS,2005,78.5,83.3
AUS,2006,78.7,83.5
AUS,2007,79.0,83.7
AUS,2008,79.2,83.7
AUS,2009,79.3,83.9
AUS,2010,79.5,84.0
AUS,2011,79.7,84.2
AUS,2012,79.9,84.3
AUS,2013,80.1,84.3
AUS,2014,80.3,84.4
AUS,2015,80.4,84.5
AUT,1960,65.4,71.9
AUT,1961,66.5,72.8
AUT,1962,66.3,72.5
AUT,1963,66.4,72.7
AUT,1964,66.8,73.2
AUT,1965,66.6,73.0
AUT,1966,66.9,73.4
AUT,1967,66.6,73.4
AUT,1968,66.8,73.5
AUT,1969,66.5,73.3
AUT,1970,66.5,73.5
AUT,1971,66.7,73.7
AUT,1972,67.0,74.1
AUT,1973,67.6,74.6
AUT,1974,67.5,74.7
AUT,1975,67.7,74.7
AUT,1976,68.2,75.1
AUT,1977,68.5,75.5
AUT,1978,68.5,75.7
AUT,1979,68.8,76.0
AUT,1980,69.0,76.1
AUT,1981,69.3,76.5
AUT,1982,69.4,76.7
AUT,1983,69.5,76.7
AUT,1984,70.1,77.3
AUT,1985,70.4,77.4
AUT,1986,71.0,77.8
AUT,1987,71.5,78.2
AUT,1988,71.9,78.7
AUT,1989,71.9,78.8
AUT,1990,72.3,79.0
AUT,1991,72.3,79.1
AUT,1992,72.5,79.3
AUT,1993,72.8,79.5
AUT,1994,73.2,79.8
AUT,1995,73.4,80.1
AUT,1996,73.7,80.2
AUT,1997,74.1,80.7
AUT,1998,74.5,81.0
AUT,1999,74.9,81.0
AUT,2000,75.2,81.2
AUT,2001,75.6,81.7
AUT,2002,75.8,81.7
AUT,2003,75.9,81.5
AUT,2004,76.4,82.1
AUT,2005,76.6,82.2
AUT,2006,77.1,82.8
AUT,2007,77.4,83.1
AUT,2008,77.7,83.3
AUT,2009,77.6,83.2
AUT,2010,77.8,83.5
AUT,2011,78.3,83.8
AUT,2012,78.4,83.6
AUT,2013,78.6,83.8
AUT,2014,79.1,84.0
AUT,2015,78.8,83.7
BEL,1960,66.8,72.8
BEL,1961,67.6,73.6
BEL,1962,67.4,73.2
BEL,1963,67.1,73.1
BEL,1964,67.8,73.9
BEL,1965,67.6,73.8
BEL,1966,67.8,73.8
BEL,1967,67.9,74.2
BEL,1968,67.6,73.9
BEL,1969,67.6,74.1
BEL,1970,67.9,74.2
BEL,1971,67.9,74.4
BEL,1972,68.2,74.8
BEL,1973,68.4,75.0
BEL,1974,68.8,75.3
BEL,1975,68.8,75.3
BEL,1976,68.9,75.5
BEL,1977,69.5,76.2
BEL,1978,69.4,76.1
BEL,1979,69.9,76.6
BEL,1980,69.9,76.7
BEL,1981,70.3,77.1
BEL,1982,70.6,77.3
BEL,1983,70.6,77.3
BEL,1984,71.0,78.0
BEL,1985,71.1,78.1
BEL,1986,71.4,78.2
BEL,1987,72.0,78.9
BEL,1988,72.2,79.1
BEL,1989,72.3,79.1
BEL,1990,72.7,79.5
BEL,1991,72.9,79.7
BEL,1992,73.0,79.9
BEL,1993,73.0,79.9
BEL,1994,73.4,80.2
BEL,1995,73.5,80.4
BEL,1996,73.9,80.7
BEL,1997,74.2,80.7
BEL,1998,74.4,80.7
BEL,1999,74.4,81.0
BEL,2000,74.6,81.0
BEL,2001,74.9,81.2
BEL,2002,75.1,81.2
BEL,2003,75.3,81.1
BEL,2004,76.0,81.9
BEL,2005,76.2,81.9
BEL,2006,76.6,82.3
BEL,2007,77.1,82.6
